ID,Name,Scala
1,[Two Sum](https://leetcode.com/problems/two-sum/),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/array/recursive/LC_0001.scala)
11,[Container With Most Water](https://leetcode.com/problems/container-with-most-water/),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/array/recursive/LC_0011.scala)
53,[Maximum Subarray](https://leetcode.com/problems/maximum-subarray/),[:arrow_up_down:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/array/iterative/LC_0053.scala)
55,[Jump Game](https://leetcode.com/problems/jump-game/),[:arrow_up_down:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/array/iterative/LC_0055.scala)
69,[Sqrt(x)](https://leetcode.com/problems/sqrtx/),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/array/recursive/LC_0069.scala)
100,[Same Tree](https://leetcode.com/problems/same-tree/),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/binary_tree/recursive/LC_0100.scala)
104,[Maximum Depth of Binary Tree](https://leetcode.com/problems/maximum-depth-of-binary-tree/),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/binary_tree/recursive/LC_0104.scala)
110,[Balanced Binary Tree](https://leetcode.com/problems/balanced-binary-tree/),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/binary_tree/recursive/LC_0110.scala)
150,[Evaluate Reverse Polish Notation](https://leetcode.com/problems/evaluate-reverse-polish-notation/),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/math/recursive/LC_0150.scala)
198,[House Robber](https://leetcode.com/problems/house-robber/),[:arrow_up_down:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/array/iterative/LC_0198.scala)
213,[House Robber II](https://leetcode.com/problems/house-robber-ii/),[:arrow_up_down:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/array/iterative/LC_0213.scala)
297,[Serialize and Deserialize Binary Tree](https://leetcode.com/problems/serialize-and-deserialize-binary-tree/),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/binary_tree/recursive/LC_0297.scala)
739,[Daily Temperatures](https://leetcode.com/problems/daily-temperatures/),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/array/recursive/LC_0739.scala)
740,[Delete and Earn](https://leetcode.com/problems/delete-and-earn/),[:arrow_up_down:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/array/iterative/LC_0740.scala)
797,[All Paths From Source to Target](https://leetcode.com/problems/all-paths-from-source-to-target/),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/graph/recursive/LC_0797.scala)
841,[Keys and Rooms](https://leetcode.com/problems/keys-and-rooms/),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/graph/recursive/LC_0841.scala)
1448,[Count Good Nodes in Binary Tree](https://leetcode.com/problems/count-good-nodes-in-binary-tree/),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-scala/blob/master/src/main/scala/binary_tree/recursive/LC_1448.scala)
